model,base_model,finetuned_dataset,eval_accuracy,task_type,learning_rate,batch_size,num_epochs,created_at,last_modified,license,downloads,row_type
zanesmit29/founder-roberta-emotion-v1,roberta-base,dair-ai/emotion,,text-classification,,,,,2026-06-16T08:58:57.000Z,,0,finetune
AdapterHub/bert-base-uncased-pf-boolq,,google/boolq,,text-classification,,,,,2024-05-10T14:15:06.000Z,,12,finetune
AdapterHub/roberta-base-pf-boolq,,google/boolq,,text-classification,,,,,2024-05-10T14:15:23.000Z,,8,finetune
pranay-j/bert-base-uncased-google-boolq,bert-base-uncased,google/boolq,0.715,text-classification,2e-05,16,4.0,,2024-05-01T04:24:14.000Z,,5,finetune
bert-base-uncased,,google/boolq,0.715,text-classification,2e-05,16,4.0,,2024-05-01T04:24:14.000Z,,,lineage
enguard/tiny-guard-4m-en-prompt-safety-cyber-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:43:39.000Z,,20,finetune
enguard/tiny-guard-8m-en-prompt-safety-cyber-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:43:22.000Z,,17,finetune
enguard/small-guard-32m-en-prompt-safety-cyber-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:44:38.000Z,,17,finetune
enguard/tiny-guard-8m-en-response-safety-finance-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:52:16.000Z,,17,finetune
enguard/small-guard-32m-en-general-safety-hr-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:35:47.000Z,,16,finetune
enguard/small-guard-32m-en-prompt-response-safety-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:40:07.000Z,,16,finetune
enguard/tiny-guard-2m-en-prompt-response-safety-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:41:00.000Z,,16,finetune
enguard/tiny-guard-2m-en-prompt-safety-cyber-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:44:19.000Z,,16,finetune
enguard/tiny-guard-8m-en-prompt-safety-law-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:46:51.000Z,,16,finetune
enguard/medium-guard-128m-xx-response-safety-law-binary-guardset,,AI-Secure/PolyGuard,0.95,text-classification,,,,,2025-11-05T19:54:21.000Z,,16,finetune
enguard/tiny-guard-8m-en-general-safety-social-media-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:37:27.000Z,,15,finetune
enguard/medium-guard-128m-xx-general-safety-social-media-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:38:18.000Z,,15,finetune
enguard/tiny-guard-2m-en-prompt-safety-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:43:03.000Z,,15,finetune
enguard/tiny-guard-2m-en-prompt-safety-finance-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:46:14.000Z,,15,finetune
enguard/small-guard-32m-en-prompt-safety-law-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:46:34.000Z,,15,finetune
enguard/tiny-guard-4m-en-prompt-safety-law-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:47:10.000Z,,15,finetune
enguard/tiny-guard-2m-en-response-safety-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:49:05.000Z,,15,finetune
enguard/small-guard-32m-en-response-safety-finance-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:51:34.000Z,,15,finetune
enguard/small-guard-32m-en-general-safety-education-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:34:07.000Z,,14,finetune
enguard/medium-guard-128m-xx-general-safety-education-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:34:32.000Z,,14,finetune
enguard/tiny-guard-8m-en-general-safety-education-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:34:50.000Z,,14,finetune
enguard/tiny-guard-4m-en-general-safety-education-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:35:09.000Z,,14,finetune
enguard/tiny-guard-2m-en-general-safety-education-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:35:28.000Z,,14,finetune
enguard/medium-guard-128m-xx-general-safety-hr-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:36:14.000Z,,14,finetune
enguard/tiny-guard-8m-en-general-safety-hr-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:36:32.000Z,,14,finetune
enguard/tiny-guard-4m-en-general-safety-hr-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:36:50.000Z,,14,finetune
enguard/tiny-guard-2m-en-general-safety-hr-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:37:08.000Z,,14,finetune
enguard/small-guard-32m-en-general-safety-social-media-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:37:49.000Z,,14,finetune
enguard/tiny-guard-4m-en-general-safety-social-media-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:38:39.000Z,,14,finetune
enguard/tiny-guard-2m-en-general-safety-social-media-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:38:59.000Z,,14,finetune
enguard/tiny-guard-4m-en-prompt-response-safety-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:39:20.000Z,,14,finetune
enguard/tiny-guard-8m-en-prompt-response-safety-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:39:42.000Z,,14,finetune
enguard/medium-guard-128m-xx-prompt-response-safety-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:40:40.000Z,,14,finetune
enguard/tiny-guard-8m-en-prompt-safety-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:41:21.000Z,,14,finetune
enguard/small-guard-32m-en-prompt-safety-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:41:44.000Z,,14,finetune
enguard/medium-guard-128m-xx-prompt-safety-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:42:21.000Z,,14,finetune
enguard/tiny-guard-4m-en-prompt-safety-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:42:41.000Z,,14,finetune
enguard/medium-guard-128m-xx-prompt-safety-cyber-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:44:02.000Z,,14,finetune
enguard/small-guard-32m-en-prompt-safety-finance-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:44:58.000Z,,14,finetune
enguard/medium-guard-128m-xx-prompt-safety-finance-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:45:22.000Z,,14,finetune
enguard/medium-guard-128m-xx-prompt-safety-law-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:47:33.000Z,,14,finetune
enguard/tiny-guard-2m-en-prompt-safety-law-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:47:49.000Z,,14,finetune
enguard/tiny-guard-8m-en-response-safety-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:48:46.000Z,,14,finetune
enguard/small-guard-32m-en-response-safety-cyber-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:49:56.000Z,,14,finetune
enguard/tiny-guard-8m-en-response-safety-cyber-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:50:15.000Z,,14,finetune
enguard/tiny-guard-2m-en-response-safety-cyber-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:50:31.000Z,,14,finetune
enguard/tiny-guard-4m-en-response-safety-cyber-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:51:13.000Z,,14,finetune
enguard/tiny-guard-4m-en-response-safety-finance-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:51:55.000Z,,14,finetune
enguard/tiny-guard-2m-en-response-safety-finance-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:53:05.000Z,,14,finetune
enguard/tiny-guard-2m-en-response-safety-law-binary-guardset,,AI-Secure/PolyGuard,0.95,text-classification,,,,,2025-11-05T19:53:24.000Z,,14,finetune
enguard/small-guard-32m-en-response-safety-law-binary-guardset,,AI-Secure/PolyGuard,0.95,text-classification,,,,,2025-11-05T19:53:47.000Z,,14,finetune
enguard/tiny-guard-4m-en-response-safety-law-binary-guardset,,AI-Secure/PolyGuard,0.95,text-classification,,,,,2025-11-05T19:54:43.000Z,,14,finetune
enguard/tiny-guard-8m-en-response-safety-law-binary-guardset,,AI-Secure/PolyGuard,0.95,text-classification,,,,,2025-11-05T19:55:04.000Z,,14,finetune
enguard/tiny-guard-8m-en-prompt-safety-finance-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:45:39.000Z,,13,finetune
enguard/medium-guard-128m-xx-response-safety-cyber-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:50:54.000Z,,13,finetune
enguard/medium-guard-128m-xx-response-safety-finance-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:52:44.000Z,,12,finetune
enguard/tiny-guard-4m-en-prompt-safety-finance-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:45:57.000Z,,11,finetune
enguard/small-guard-32m-en-response-safety-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:48:10.000Z,,11,finetune
enguard/medium-guard-128m-xx-response-safety-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:49:36.000Z,,11,finetune
enguard/tiny-guard-4m-en-response-safety-binary-guardset,,AI-Secure/PolyGuard,,text-classification,,,,,2025-11-05T19:48:28.000Z,,8,finetune
ENTUM-AI/roberta-clickbait-classifier,roberta-base,contemmcm/clickbait,,text-classification,,,,,2026-03-26T11:55:30.000Z,,12,finetune
roberta-base,,contemmcm/clickbait,,text-classification,,,,,2026-03-26T11:55:30.000Z,,,lineage
enguard/small-guard-32m-en-prompt-violence-binary-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:30:56.000Z,,187,finetune
enguard/tiny-guard-2m-en-prompt-hate-speech-binary-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:19:46.000Z,,29,finetune
enguard/tiny-guard-2m-en-prompt-violence-binary-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:31:54.000Z,,29,finetune
enguard/medium-guard-128m-xx-prompt-harmfulness-multilabel-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:11:26.000Z,,28,finetune
enguard/medium-guard-128m-xx-prompt-sexual-content-binary-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:30:25.000Z,,27,finetune
enguard/tiny-guard-2m-en-prompt-harassment-binary-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:02:29.000Z,,25,finetune
enguard/tiny-guard-2m-en-prompt-harmfulness-binary-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:07:52.000Z,,25,finetune
enguard/tiny-guard-4m-en-prompt-harmfulness-binary-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:06:07.000Z,,25,finetune
enguard/medium-guard-128m-xx-prompt-harmfulness-binary-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:09:19.000Z,,25,finetune
enguard/tiny-guard-4m-en-prompt-harassment-binary-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:00:42.000Z,,24,finetune
enguard/small-guard-32m-en-prompt-harassment-binary-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:01:51.000Z,,24,finetune
enguard/tiny-guard-8m-en-prompt-harassment-binary-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:01:15.000Z,,23,finetune
enguard/medium-guard-128m-xx-prompt-harassment-binary-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:03:44.000Z,,23,finetune
enguard/small-guard-32m-en-prompt-harmfulness-binary-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:06:57.000Z,,23,finetune
enguard/tiny-guard-4m-en-prompt-self-harm-binary-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:24:54.000Z,,22,finetune
enguard/tiny-guard-4m-en-prompt-sexual-content-binary-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:27:19.000Z,,22,finetune
enguard/tiny-guard-2m-en-prompt-harmfulness-multilabel-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:13:37.000Z,,21,finetune
enguard/medium-guard-128m-xx-prompt-hate-speech-binary-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:21:04.000Z,,21,finetune
enguard/small-guard-32m-en-prompt-self-harm-binary-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:24:07.000Z,,21,finetune
enguard/tiny-guard-2m-en-prompt-self-harm-binary-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:25:41.000Z,,21,finetune
enguard/small-guard-32m-en-prompt-harmfulness-multilabel-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:10:40.000Z,,20,finetune
enguard/tiny-guard-4m-en-prompt-harmfulness-multilabel-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:12:03.000Z,,20,finetune
enguard/tiny-guard-8m-en-prompt-harmfulness-multilabel-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:12:59.000Z,,20,finetune
enguard/tiny-guard-4m-en-prompt-hate-speech-binary-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:17:28.000Z,,20,finetune
enguard/tiny-guard-8m-en-prompt-hate-speech-binary-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:18:36.000Z,,20,finetune
enguard/tiny-guard-8m-en-prompt-self-harm-binary-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:21:45.000Z,,20,finetune
enguard/medium-guard-128m-xx-prompt-self-harm-binary-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:23:05.000Z,,20,finetune
enguard/tiny-guard-8m-en-prompt-sexual-content-binary-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:26:26.000Z,,20,finetune
enguard/small-guard-32m-en-prompt-sexual-content-binary-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:28:39.000Z,,20,finetune
enguard/tiny-guard-2m-en-prompt-sexual-content-binary-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:29:48.000Z,,20,finetune
enguard/tiny-guard-8m-en-prompt-violence-binary-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:31:26.000Z,,20,finetune
enguard/tiny-guard-4m-en-prompt-violence-binary-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:32:21.000Z,,20,finetune
enguard/medium-guard-128m-xx-prompt-violence-binary-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:32:56.000Z,,20,finetune
enguard/small-guard-32m-en-prompt-hate-speech-binary-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:16:07.000Z,,19,finetune
enguard/tiny-guard-8m-en-prompt-harmfulness-binary-moderation,,enguard/multi-lingual-prompt-moderation,,text-classification,,,,,2025-11-05T20:05:14.000Z,,10,finetune
bikingSolo/vk-nlp-course-hometask-2-reward-model,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-04-27T17:03:46.000Z,,8,finetune
dzhuj/reward,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-03-09T19:43:52.000Z,,5,finetune
kuklinmike/trainer_output,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-03-24T21:13:25.000Z,,5,finetune
liuhailin0123/trainer_output,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-03-30T16:11:34.000Z,,4,finetune
gsemenyak/llm-course-hw2-reward-model,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-03-30T19:09:08.000Z,,4,finetune
mcnckc/llm-hw2-reward-model,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-03-06T19:51:13.000Z,,3,finetune
efromomr/llm-course-hw2-reward-model,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-03-09T19:56:04.000Z,,3,finetune
tsessk/llm-course-hw2-reward-model,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-03-08T14:07:53.000Z,,3,finetune
efromomr/llm-course-hw2-reward-model-v2,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-03-07T16:59:35.000Z,,3,finetune
kyurakhno/sample_data,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-03-09T14:11:40.000Z,,3,finetune
antoniorusan/trainer_output,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-03-28T10:26:43.000Z,,3,finetune
georgebu/reward_model,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-03-28T10:20:47.000Z,,3,finetune
Grivind/trainer_output,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-03-29T16:18:29.000Z,,3,finetune
xinyuema/trainer_output,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-03-30T15:18:52.000Z,,3,finetune
neuralsrg/trainer_output,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-03-29T14:59:10.000Z,,3,finetune
AnnaBurikova/trainer_output,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-03-27T19:36:41.000Z,,3,finetune
dmitry315/trainer_output,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-03-28T14:18:42.000Z,,3,finetune
scientisto/trainer_output,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-03-29T21:29:39.000Z,,3,finetune
tuparic/trainer_output,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-03-28T23:16:31.000Z,,3,finetune
pbedrin/llm-course-hw2-reward-model,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-03-30T20:29:24.000Z,,3,finetune
Hope09/trainer_output,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-03-30T10:08:00.000Z,,3,finetune
niktati/trainer_output,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-03-30T13:00:28.000Z,,3,finetune
mibochkov/reward_model_output,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-11-14T14:49:43.000Z,,3,finetune
01eg0/llm-course-hw2-reward-model,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-11-09T12:38:30.000Z,,3,finetune
dsmarinina/trainer_output,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-11-26T13:43:09.000Z,,3,finetune
Misha0706/llm-alignment-reward-model,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2026-04-13T19:54:24.000Z,,3,finetune
tsessk/content,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-03-06T22:56:24.000Z,,2,finetune
ligaydima/ppo-reward-model,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-03-08T21:54:10.000Z,,2,finetune
denisrtyhb/reward_model,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-03-07T04:38:18.000Z,,2,finetune
ntyazh/content,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-03-08T19:07:20.000Z,,2,finetune
bulat-minnakhmetov/reward_model_output,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-03-09T18:36:20.000Z,,2,finetune
Pavelslavovich/trainer_output,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-03-23T15:17:01.000Z,,2,finetune
Yegor25/llm-course-hw2-reward-model,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-03-18T23:12:17.000Z,,2,finetune
mzabelin8/reward_model_output,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-03-23T20:31:36.000Z,,2,finetune
X1716/test,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-03-24T12:29:04.000Z,,2,finetune
X1716/llm-course-hw2-reward-model,,HumanLLMs/Human-Like-DPO-Dataset,,text-classification,,,,,2025-03-29T19:53:51.000Z,,2,finetune
